time,magnitude,latitude,longitude,depth_km
2001-08-13T20:11:23.400Z,6.4,41.046,142.308,38.0
2001-08-17T22:25:49.010Z,5.9,25.748,126.19,33.0
2001-08-20T04:12:37.470Z,5.4,25.653,126.208,33.0
2001-08-20T12:56:15.550Z,5.0,43.841,148.136,33.0
2001-08-24T09:48:02.460Z,5.2,41.122,142.191,58.8
2001-08-29T20:52:27.300Z,5.0,31.543,131.693,41.7
2001-08-30T06:12:26.550Z,5.0,26.044,128.434,33.0
2001-09-02T15:03:46.670Z,5.2,36.353,141.021,43.2
2001-09-04T14:54:40.310Z,5.3,36.748,141.383,46.3
2001-09-10T20:53:32.740Z,5.4,44.65,138.456,273.6
2001-09-12T22:23:44.090Z,5.7,27.692,141.907,33.0
2001-09-16T04:48:13.740Z,5.2,42.972,146.96,33.0
2001-09-29T09:32:27.830Z,5.1,28.28,127.523,33.0
2001-10-01T00:34:54.500Z,5.1,43.662,147.581,56.9
2001-10-02T01:01:34.010Z,5.9,34.548,141.417,33.0
2001-10-02T08:19:49.460Z,5.6,37.739,141.775,42.9
2001-10-04T16:57:29.450Z,5.2,34.92,141.598,42.9
2001-10-11T14:45:31.730Z,5.1,27.542,141.574,53.7
2001-10-26T01:18:47.720Z,5.0,25.639,126.35,33.0
2001-10-26T08:44:28.310Z,5.0,30.554,141.755,33.0
2001-10-30T21:04:24.750Z,5.5,28.579,128.28,135.9
2001-11-03T23:34:32.060Z,5.3,43.823,139.623,220.9
2001-11-10T00:37:14.680Z,5.1,24.821,122.72,33.0
2001-11-11T18:12:46.570Z,5.3,33.279,137.39,362.2
2001-11-18T03:49:37.630Z,5.3,44.538,148.122,33.0
2001-11-21T20:24:55.130Z,5.1,41.556,144.102,33.0
2001-11-24T02:56:48.810Z,5.1,25.077,125.256,73.8
2001-11-24T16:29:01.390Z,5.1,33.063,141.034,55.1
2001-11-26T12:10:10.650Z,5.2,39.191,143.04,33.0
2001-12-01T16:28:07.910Z,5.0,43.665,147.471,55.3
2001-12-02T13:01:53.670Z,6.5,39.402,141.089,123.8
2001-12-08T20:29:34.230Z,6.2,28.251,129.574,33.0
2001-12-11T17:56:30.220Z,5.0,31.509,137.463,33.0
2001-12-18T04:46:58.440Z,5.0,24.027,122.839,10.0
2001-12-22T21:40:25.970Z,5.2,24.072,122.692,10.0
2001-12-23T10:21:28.250Z,5.9,27.871,141.75,35.4
2001-12-28T00:41:38.600Z,5.1,24.123,122.772,10.0
2001-12-30T12:01:09.130Z,5.0,24.005,126.948,38.1
2002-01-03T07:58:28.590Z,5.4,44.379,149.516,33.0
2002-01-12T00:18:24.840Z,5.3,25.64,125.336,33.0
2002-01-19T09:06:16.620Z,5.7,43.915,147.272,55.3
2002-01-27T07:09:14.630Z,5.3,39.288,142.327,49.1
2002-02-01T21:55:20.990Z,5.9,45.464,136.719,355.5
2002-02-11T01:09:54.210Z,5.4,35.643,141.015,46.9
2002-02-12T13:44:37.340Z,5.6,36.588,140.949,45.0
2002-02-12T20:54:33.480Z,5.0,27.364,129.498,33.0
2002-02-14T01:12:21.140Z,5.5,41.472,142.029,61.0
2002-03-04T20:21:22.850Z,5.5,28.446,143.275,45.1
2002-03-04T20:37:16.410Z,5.1,28.4,143.214,47.4
2002-03-11T01:46:20.670Z,5.8,30.599,141.566,33.0
2002-03-20T04:00:18.600Z,5.9,30.512,141.962,10.0
2002-03-27T12:15:23.360Z,5.0,44.659,147.685,119.3
2002-03-31T06:52:50.490Z,7.1,24.279,122.179,32.8
2002-04-03T23:42:12.810Z,5.7,41.543,141.851,71.4
2002-04-11T12:04:13.480Z,5.3,39.987,142.813,35.9
2002-04-17T00:14:57.840Z,5.1,31.688,140.451,64.7
2002-04-20T21:30:32.370Z,5.0,41.63,142.093,70.1
2002-04-28T13:23:50.490Z,5.2,24.198,122.675,44.5
2002-05-06T08:12:03.830Z,5.1,38.494,142.077,42.1
2002-05-09T16:37:34.840Z,5.2,26.44,128.851,33.0
2002-05-12T01:29:35.440Z,5.4,39.225,140.995,95.5
2002-05-21T20:04:16.160Z,5.5,44.43,146.619,149.8
2002-05-28T16:45:17.100Z,6.1,24.069,122.264,33.0
2002-05-30T05:07:44.920Z,5.1,41.561,142.007,67.3
2002-06-03T09:15:00.700Z,5.9,27.564,139.78,488.7
2002-06-04T17:20:57.090Z,5.1,24.85,125.353,48.9
2002-06-13T20:40:26.240Z,5.2,24.798,122.23,10.0
2002-06-19T09:16:27.900Z,5.3,36.125,141.71,33.0
2002-06-28T17:19:30.270Z,7.3,43.752,130.666,566.0
2002-07-11T07:36:26.060Z,5.8,24.075,122.288,43.8
2002-07-14T19:10:40.550Z,5.3,29.677,142.286,33.0
2002-07-15T08:24:18.660Z,5.2,28.061,129.565,53.8
2002-07-16T03:39:49.420Z,5.0,30.924,141.302,33.0
2002-07-16T11:57:26.730Z,5.5,30.847,132.394,33.0
2002-07-18T10:13:21.240Z,5.3,27.392,126.997,33.0
2002-07-23T08:00:36.540Z,5.0,45.318,149.976,54.6
2002-07-23T20:05:31.880Z,5.7,37.251,142.216,33.0
2002-07-25T12:31:01.440Z,5.7,43.661,147.548,33.0
2002-07-28T11:31:27.960Z,5.2,42.284,142.997,61.4
2002-08-02T23:11:39.130Z,6.3,29.28,138.97,426.1
2002-08-03T02:23:56.280Z,5.1,43.576,147.667,62.7
2002-08-11T21:55:30.440Z,5.1,41.106,142.591,54.0
2002-08-20T10:59:32.020Z,6.3,30.986,141.966,9.0
2002-08-24T18:40:53.440Z,6.1,43.11,146.118,42.6
2002-08-30T05:58:21.050Z,5.4,44.479,149.081,31.3
2002-09-01T05:56:24.310Z,5.5,24.056,122.272,39.5
2002-09-01T07:07:36.420Z,5.3,24.076,122.325,33.0
2002-09-10T08:38:13.200Z,5.0,24.857,122.08,111.0
2002-09-15T01:06:55.800Z,5.1,24.098,122.463,36.0
2002-09-15T08:39:32.700Z,6.4,44.833,129.923,586.3
2002-09-16T00:03:29.880Z,5.5,25.154,122.27,182.6
2002-09-16T01:10:49.480Z,5.3,35.256,133.651,10.0
2002-09-17T03:58:13.770Z,5.6,30.995,141.775,33.0
2002-09-28T14:16:26.110Z,5.2,43.051,146.061,33.0
2002-10-02T07:33:40.750Z,5.2,44.533,146.514,116.2
2002-10-04T17:33:04.920Z,5.1,25.643,124.877,43.6
2002-10-11T01:04:03.350Z,5.0,37.699,142.591,47.7
2002-10-12T10:59:33.710Z,5.5,37.753,142.621,30.7
2002-10-14T14:12:43.750Z,6.1,41.174,142.249,61.4
2002-10-19T12:09:05.380Z,6.3,44.297,149.96,33.0
2002-10-20T16:06:00.500Z,5.5,36.353,141.071,41.5
2002-10-23T23:17:58.720Z,5.0,25.168,123.814,10.0
2002-10-23T23:51:09.060Z,5.1,25.233,123.925,10.0
2002-10-24T02:27:52.020Z,5.2,25.221,123.795,10.0
2002-10-24T02:32:31.260Z,5.2,25.203,123.852,10.0
2002-10-24T03:22:23.530Z,5.1,25.227,123.837,10.0
2002-10-24T04:19:07.150Z,5.2,25.129,123.827,10.0
2002-10-24T04:35:13.060Z,5.4,25.222,123.746,10.0
2002-10-24T05:18:46.780Z,5.1,25.192,123.672,10.0
2002-10-24T06:07:04.910Z,5.4,25.186,123.765,10.0
2002-10-24T09:28:00.200Z,5.3,25.181,123.713,10.0
2002-10-24T13:48:11.570Z,5.2,25.248,123.702,10.0
2002-10-25T02:49:24.450Z,5.3,25.208,123.733,10.0
2002-10-25T14:40:51.690Z,5.4,30.564,129.996,125.4
2002-11-03T03:37:42.070Z,6.4,38.886,141.977,39.0
2002-11-03T19:14:43.830Z,5.1,38.871,142.0,50.1
2002-11-04T04:35:57.760Z,5.4,32.393,131.55,33.0
2002-11-24T05:07:54.990Z,5.1,29.261,130.485,33.8
2002-11-30T07:15:54.460Z,5.4,42.492,144.963,33.0
2002-12-01T09:56:59.700Z,5.4,42.649,143.942,94.2
2002-12-04T15:50:42.190Z,5.4,38.729,142.186,40.2
2002-12-04T15:53:02.630Z,5.0,38.921,142.064,43.6
2002-12-06T23:50:04.040Z,5.0,28.495,130.055,33.0
2002-12-10T21:02:19.900Z,5.5,34.301,141.595,10.0
2002-12-11T20:18:14.080Z,5.2,31.629,140.441,66.8
2002-12-19T12:19:18.910Z,5.0,40.94,143.07,34.3
2002-12-31T22:29:45.150Z,5.2,44.94,146.212,212.0
2003-01-06T04:42:52.340Z,5.0,41.085,142.281,57.2
2003-01-09T04:14:19.570Z,5.2,36.378,141.15,33.0
2003-01-16T03:42:25.670Z,5.4,27.315,128.758,41.1
2003-01-18T19:50:28.420Z,5.5,33.941,137.183,33.0
2003-01-21T04:19:23.300Z,5.3,36.327,140.938,40.7
2003-02-06T18:48:40.060Z,5.3,43.294,148.094,49.7
2003-02-16T03:03:48.160Z,5.2,37.417,141.019,65.1
2003-02-19T05:01:40.270Z,5.9,44.149,141.799,214.4
2003-03-02T22:46:46.840Z,5.8,37.68,141.719,42.6
2003-03-12T18:04:42.820Z,5.4,27.283,127.094,147.8
2003-03-13T03:12:57.850Z,5.2,35.982,139.678,69.5
2003-03-16T05:35:24.970Z,5.1,42.453,142.897,98.5
2003-03-18T16:43:52.970Z,5.2,41.512,135.397,368.7
2003-03-21T18:43:27.160Z,5.5,28.094,142.506,30.6
2003-03-24T01:47:12.400Z,5.4,29.993,138.737,422.0
2003-04-07T18:28:37.380Z,5.8,36.296,141.679,33.0
2003-04-16T17:59:53.890Z,5.4,40.983,142.208,57.0
2003-04-29T13:53:17.300Z,6.0,43.706,147.805,62.5
2003-05-02T09:26:22.410Z,5.2,44.453,149.149,37.0
2003-05-11T15:57:06.530Z,5.3,35.794,139.904,66.8
2003-05-15T01:17:43.550Z,5.1,25.065,122.39,33.0
2003-05-17T14:33:09.670Z,5.4,35.591,140.551,50.0
2003-05-26T09:24:33.400Z,7.0,38.849,141.568,68.0
2003-06-01T17:50:21.990Z,5.6,28.197,142.773,10.0
